ID,Kael,angularity,surface_roughness,asymmetricity1,asymmetricity2,polygonality,area,perimeter,elongation,bulkiness,surface,circularity,sphericity
1_Drawing of 1_particle_1,0.890795953,1.796675773,0.090279868,0.534781869,22.48056227,3.0,6823,398,1.122485122,1.34645853,1.847484948,0.73571489,0.853594383
1_Drawing of 1_particle_2,0.676348293,2.283990686,0.13905169,0.934609348,47.21893235,3.0,6736,410,1.584415584,1.3945962,1.985892661,0.709613901,0.743643041
1_Drawing of 1_particle_3,0.497513335,2.206893158,0.147931814,0.515162853,30.76830433,2.449489743,6984,486,2.009348695,1.584514476,2.691277272,0.60956606,0.598028126
1_Drawing of 1_particle_4,0.764663889,2.628716066,0.135014027,1.117895924,89.29410383,3.464101615,7049,432,1.420263391,1.315228412,2.106833033,0.688945615,0.739842165
1_Drawing of 1_particle_5,0.523656539,1.961818855,0.080704607,0.890593968,76.36763839,2.828427125,6969,440,2.18191546,1.299296996,2.210675634,0.672569994,0.656009345
1_Drawing of 1_particle_6,0.394602079,1.658322461,0.113294706,1.655313776,60.51560878,4.242640687,7216,472,2.936028162,1.327220812,2.456844155,0.637986069,0.556269123
1_Drawing of 1_particle_7,0.350026706,1.447106735,0.099445105,2.13042223,167.210261,3.464101615,7328,538,3.441540218,1.400053739,3.143179814,0.564047121,0.498417446
1_Drawing of 1_particle_8,0.558569002,1.805087181,0.139032848,1.276801401,35.67290451,4.242640687,7230,462,1.972193878,1.402810977,2.349285455,0.65242727,0.566348873
1_Drawing of 10_particle_1,0.495620787,1.96516423,0.135050466,1.424460904,170.4833867,3.872983346,9607,532,2.222569791,1.388023493,2.344367056,0.653111296,0.610442521
1_Drawing of 10_particle_2,0.553943761,1.67563507,0.098752216,1.219098986,28.52327048,3.464101615,9599,536,2.097054666,1.332433085,2.381736563,0.647967373,0.611395567
1_Drawing of 10_particle_3,0.428633732,1.628003137,0.136635493,1.029467843,54.21252807,4.0,9648,592,2.605411687,1.443682167,2.890654953,0.58816865,0.564992723
1_Drawing of 10_particle_4,0.720373113,2.107646763,0.211088647,2.607064798,160.1835337,3.0,9674,498,1.474747475,1.494107918,2.04005905,0.700129909,0.691216023
1_Drawing of 10_particle_5,0.71905038,1.471052754,0.100715337,0.94301639,61.58694487,4.898979486,9595,472,1.447284121,1.248707328,1.847690195,0.735674026,0.778734558
1_Drawing of 11_particle_1,0.653621785,2.210834573,0.101664041,1.057671862,47.59259817,3.0,9870,516,1.75361193,1.443220912,2.146705093,0.682517524,0.659949802
